Filename,Example#,Num_Tokens_In,MatMul_time_Prefill_phase[s],MatMul_time_Token_phase[s],MatMul_time_Cumulative[s],All_Other_layers[s],Generate_Time[s],Decoder_time_Prefill_phase[s],Decoder_time_Token_phase[s],Num_Tokens_Out,Num_New_Tokens,Prefill_Phase[ms],Time_per_Token[ms],Tokens\sec
_logs/quant.log,1,8,0.000,0.000,0.000,3.871,3.871,0.5082884000148624,3.3479126999736764,19,11,508.2884000148624,334.79126999736764,2.986935710742585
_logs/quant.log,2,16,0.000,0.000,0.000,4.264,4.264,1.280344300030265,2.9701033999444917,27,11,1280.344300030265,297.01033999444917,3.366886149548494
_logs/quant.log,3,32,0.000,0.000,0.000,4.669,4.669,1.3338857000344433,3.320699199975934,43,11,1333.8857000344433,332.0699199975934,3.011413981751937
_logs/quant.log,4,64,0.000,0.000,0.000,5.504,5.504,2.46117659995798,3.028356300026644,75,11,2461.17659995798,302.8356300026644,3.3021213520720853
_logs/quant.log,5,128,0.000,0.000,0.000,7.857,7.857,4.788864000001922,3.057770499959588,139,11,4788.864000001922,305.7770499959588,3.270356620986487
_logs/quant.log,6,256,0.000,0.000,0.000,13.570,13.570,9.883189500018489,3.6718558000284247,267,11,9883.189500018489,367.18558000284247,2.723418495879546
_logs/quant.log,7,512,0.000,0.000,0.000,24.157,24.157,19.98514870001236,4.150126899941824,523,11,19985.14870001236,415.01268999418244,2.40956487382113
_logs/quant.log,8,1024,0.000,0.000,0.000,45.598,45.598,40.438678200007416,5.121712100051809,1035,11,40438.678200007416,512.1712100051809,1.9524721039862518
_logs/quant.log,9,1536,0.000,0.000,0.000,67.383,67.383,61.1136489000055,6.228679599997122,1547,11,61113.6489000055,622.8679599997122,1.605476704886959
_logs/quant.log,10,2048,0.000,0.000,0.000,93.676,93.676,85.72464730002685,7.889968100003898,2059,11,85724.64730002685,788.9968100003898,1.267432247285646
